SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
511114	VALUEMAR    	B 	Q	20.5	20.5	20.5	20.5	20.5	20.9	2	102	2091	
511116	QUADRANT    	B 	Q	2.25	2.7	2.25	2.62	2.7	2.48	97	28254	73526	
511131	KAMAN HSG   	B 	Q	26.5	27.5	26.5	27.25	27.25	26.55	85	4470	120834	
511138	KOTHARIFIN  	T 	Q	38.1	39.05	38.1	39.05	39.05	38.05	71	8250	322085	
511144	SAYA HSG.FIN	B 	Q	9.7	9.75	9.45	9.67	9.67	9.75	153	13080	126293	
511196	CANFIN HOMES	B 	Q	172	173.4	170	170.15	170	174.15	79	1217	209214	
511208	IL & FS INVE	B 	Q	13.2	13.2	12.65	12.81	12.93	12.9	367	57133	731088	
511210	BASIL INF   	T 	Q	22.35	22.35	22	22	22	21.45	5	19873	441018	
511218	SHRIRAM TRAN	A 	Q	676.5	679	669.05	673.2	673.2	672.85	401	3459	2327164	
511243	CHOLAFIN    	B 	Q	245	248	242	243.55	242	244	360	902	220105	
511246	WHITE LION A	T 	Q	0.12	0.12	0.12	0.12	0.12	0.11	1	1	0	
511272	CFL CAPITAL 	T 	Q	6.07	6.07	5.52	5.52	5.52	5.8	2	21	116	
511276	MEFCOM AGRO 	T 	Q	6.64	6.64	6.64	6.64	6.64	6.64	1	1	6	
511288	GRUH FINANCE	B 	Q	255.9	267	255.2	261.85	261.85	255.8	2493	56438	14865454	
511306	PAL CREDIT  	T 	Q	1.63	1.64	1.63	1.64	1.64	1.71	3	650	1061	
511333	VLS FINANCE 	T 	Q	13	13	12.75	13	13	13	46	10123	130971	
511355	IND CEM CAP 	B 	Q	2.79	2.79	2.79	2.79	2.79	2.66	2	10	27	
511357	KAILASH AUTO	B 	Q	39.5	40.15	38.15	39.65	40.1	39.45	575	1601308	63258569	
511361	BLUE BL.FIN.	T 	Q	17.45	17.45	17.45	17.45	17.45	16.63	3	5000	87250	
511369	FIRST FIN.  	B 	Q	10.8	11.2	10.5	10.6	10.75	11.15	101	17676	193366	
511389	VIDEOCON IND	A 	Q	172.9	174.95	172.9	173.45	173.45	172.2	368	8401	1460546	
511393	DFLINFRA    	B 	Q	9.63	9.63	9.63	9.63	9.63	10.13	1	3	28	
511411	SHRISTINFRA 	B 	Q	53.65	53.65	53.65	53.65	53.65	51.1	2	320	17168	
511413	SHARYANS RES	B 	Q	38.5	40.05	38	39.9	39.9	38.15	472	11861	462092	
511421	PINEANIM    	T 	Q	97.65	97.65	93.1	93.25	93.25	93	5	30100	2805015	
511431	VAKRANGEE   	B 	Q	84.4	84.4	82.5	82.85	82.85	83.45	741	49398	4111109	
511433	INSTAF      	T 	Q	8.81	9.71	8.81	8.82	8.82	9.27	18	316	2793	
511451	DHARANI FIN.	T 	Q	3.84	3.9	3.84	3.9	3.9	4.03	3	210	813	
511463	RUDRAKSH    	T 	Q	11.86	11.86	11.86	11.86	11.86	12.1	1	5	59	
511473	IND.BANK MER	B 	Q	4.35	4.38	4.3	4.38	4.38	4.18	32	4265	18598	
511505	CAPITAL TRUS	T 	Q	24.9	24.9	24.9	24.9	24.9	24	1	10	249	
511523	VEERHEALTH  	B 	Q	1.8	1.8	1.8	1.8	1.8	1.73	1	2000	3600	
511525	PAN INDIA C 	T 	Q	0.23	0.23	0.22	0.22	0.22	0.22	29	12269	2769	
511533	SAHARA HOUSG	B 	Q	35.2	36.25	35.2	36.25	36.25	34.55	8	99	3533	
511551	NETWORTH STK	B 	Q	12.4	12.8	12.4	12.8	12.8	12.4	3	105	1304	
511557	PRO FIN CAP.	T 	Q	86	86	84	84.75	84.05	87.05	52	281	23813	
511559	TIMES GUARAN	B 	Q	22.6	22.6	22.6	22.6	22.6	21.55	4	206	4655	
511585	REGENCY TRUS	B 	Q	11.2	11.2	11.2	11.2	11.2	10.69	1	50	560	
511601	YASH MANAGE.	B 	Q	6.3	6.3	6.25	6.25	6.25	6	12	1025	6430	
511605	ARIHANT CAP.	B 	Q	15.45	16.35	15.25	15.35	15.25	15.76	108	3759	58287	
511607	BIR SHL EDU 	T 	Q	3.99	3.99	3.94	3.95	3.98	3.8	78	49003	194964	
511611	DCM FINANCIA	B 	Q	0.72	0.72	0.72	0.72	0.72	0.69	1	100	72	
511618	JIK INDUS.  	T 	Q	0.72	0.72	0.7	0.7	0.7	0.7	65	85746	60735	
511638	MADHUR CAP. 	B 	Q	3.9	3.9	3.85	3.85	3.85	4.05	2	280	1090	
511652	GEMOIL      	B 	Q	23	23	19.85	21.8	21.8	20.98	845	832836	17315017	
511660	PREMIUM CAP 	T 	Q	0.86	0.86	0.86	0.86	0.86	0.82	2	501	430	
511668	FACT ENTERP 	T 	Q	0.64	0.65	0.64	0.65	0.65	0.65	18	21105	13538	
511676	GIC HOUSING 	B 	Q	104.65	106.8	104	105.45	105.45	104.1	1104	42869	4527428	
511682	IFL PRMOTER 	T 	Q	5.24	5.32	5.24	5.31	5.32	5.24	9	35000	186140	
511688	MATHEW EASOW	B 	Q	31.65	31.65	28	31	31	28.8	11	45816	1316991	
511692	AJCON GLOBAL	B 	Q	15	15	14.41	14.42	14.42	14.85	122	12372	184429	
511698	BHAGYASHREE 	T 	Q	63.7	63.7	63.7	63.7	63.7	67	1	100	6370	
511706	ACTION FIN. 	B 	Q	10.76	10.76	10.76	10.76	10.76	10.25	1	100	1076	
511710	CUBICAL FIN.	T 	Q	47.55	52.5	47.55	47.55	47.55	50	5	206	9820	
511716	ESCORT FINAN	B 	Q	3.4	3.7	3.4	3.7	3.7	3.53	8	4610	16157	
511724	BAID LEASING	B 	Q	20.55	20.55	20.55	20.55	20.55	20.4	2	150	3082	
511726	VIPUL LTD   	B 	Q	6.52	6.52	6.45	6.45	6.45	6.22	6	1350	8753	
511728	KZ LEAS FIN.	B 	Q	2.75	2.75	2.75	2.75	2.75	2.62	1	100	275	
511734	PASUPATI FIN	B 	Q	8	8	8	8	8	7.67	1	10	80	
511736	USHDEV INTNL	B 	Q	275.05	304.95	273.2	300.75	299.95	279.95	151	1900	527971	
511740	MEHTA HOUSIN	T 	Q	9.67	9.67	9.67	9.67	9.67	10.17	1	1	9	
511754	SHALIB.FINAN	B 	Q	22.25	23.7	22.2	22.9	22.9	22.15	110	10376	233214	
511756	ABIRAMI FIN.	B 	Q	7.95	7.95	7.95	7.95	7.95	8.36	1	1	7	
511760	SEVENHILL   	T 	Q	3.68	3.68	3.68	3.68	3.68	3.51	1	300	1104	
511766	MUTHOOT CAP 	B 	Q	85.95	87.8	85.95	87.6	87.8	85.9	255	14015	1216243	
512018	CNI RES LTD 	T 	Q	1.99	2.18	1.99	2.13	2.13	2.09	7	2110	4404	
512036	KAPIL COTEX 	T 	Q	65.25	65.25	65.25	65.25	65.25	62.15	1	50	3262	
512047	ROYAL IND   	B 	Q	4.5	4.5	4.34	4.35	4.35	4.55	140	38983	174511	
512048	SMIL        	B 	Q	2.12	2.21	2.1	2.1	2.1	2.12	15	19405	42194	
512067	VISHJYOTI TR	T 	Q	87.75	87.75	87.75	87.75	87.75	83.6	1	10	877	
512068	DECCANGOLD  	B 	Q	21.5	22.35	20.95	21.8	22.25	20.8	149	32038	690905	
512070	UPL         	A 	Q	198.95	199.7	196.65	198.3	198.3	197.8	1725	76119	15070378	
512075	SUCHAK TRAD 	T 	Q	5.12	5.12	5.12	5.12	5.12	4.88	1	50	256	
512093	CRANES SOFTW	T 	Q	4.55	4.88	4.51	4.82	4.87	4.66	103	40738	194865	
512097	ORGAN COMM. 	T 	Q	9.71	9.71	9.71	9.71	9.71	9.9	1	1	9	
512105	SHREENATH   	B 	Q	8.42	8.42	8.42	8.42	8.42	8.26	6	6211	52296	
512113	KELVINFIN   	T 	Q	380	380	373.95	375	375	380	52	52111	19531014	
512129	JAYANT MERC.	T 	Q	38.9	38.9	36.45	36.45	36.45	38.35	100	69029	2516352	
512131	SIGNET IND  	B 	Q	307	307.95	304.5	305.3	304.5	306.75	545	19574	5989358	
512149	ADVANCE TECH	T 	Q	0.11	0.11	0.09	0.11	0.11	0.1	83	289870	30459	
512161	8KMILES     	B 	Q	83	83.05	82.5	82.5	82.5	83.4	42	4450	368465	
512179	SUNTECK REAL	B 	Q	304.8	304.8	300.7	303.3	302.95	302.1	34	155	46916	
512191	MISHKAFIN   	T 	Q	268.7	268.7	268.7	268.7	268.7	263.45	1	6	1612	
512199	COREEDUTEC  	B 	Q	20.35	22	20.3	21.75	21.75	20.1	2486	421958	8977906	
512207	EFFTXT      	T 	Q	88.5	88.5	88.5	88.5	88.5	84.3	1	5	442	
512237	JAI CORP LTD	B 	Q	74.5	77.35	73.5	76.4	76.4	74.2	11089	1147345	87077571	
512247	ASHIRWAD CAP	B 	Q	2.16	2.3	2.16	2.22	2.29	2.22	28	4890	10822	
512253	MEUSEKARA   	B 	Q	7	7	7	7	7	7.25	4	6000	42000	
512257	SVARTCORP   	B 	Q	2.39	2.39	2.12	2.15	2.15	2.3	5	5872	12486	
512267	MEDIA MATRIX	B 	Q	3.89	3.89	3.79	3.84	3.88	3.71	33	10765	41134	
512289	SHIRPUR GOLD	T 	Q	60	60	58.05	58.45	59	61.1	80	4726	276926	
512296	BHAGYA INL  	B 	Q	10.76	10.76	10.51	10.7	10.7	10.25	11	1710	18303	
512299	STERL.BIOTEC	T 	Q	9	9	8.16	8.55	8.55	8.58	451	177102	1534073	
512311	SURABHI CHEM	B 	Q	57.5	60.45	57.5	58.6	58.8	58.6	704	648332	37979288	
512332	BIRLA CAP   	B 	Q	1.18	1.18	1.18	1.18	1.18	1.2	3	4665	5504	
512344	ARAVALI SEC.	T 	Q	7.18	7.18	7.18	7.18	7.18	6.85	1	25	179	
512355	ANUKARAN COM	B 	Q	21.7	21.7	21.7	21.7	21.7	22.1	9	25000	542500	
512361	CUPID TRADE 	B 	Q	63.1	63.1	63.1	63.1	63.1	61.9	13	1386	87456	
512369	ENNORE COKE 	B 	Q	17.15	17.15	17.15	17.15	17.15	18	1	95	1629	
512379	CRESSANDA SO	B 	Q	510	510.5	506	510.15	510.15	510.25	201	47596	24278933	
512413	SPECTACLE   	B 	Q	0.49	0.49	0.49	0.49	0.49	0.47	1	1	0	
512449	SVC RES     	T 	Q	2.42	2.42	2.41	2.42	2.42	2.38	153	302044	730846	
512463	SHREE GLOBAL	B 	Q	33.25	34.5	33.25	34.5	34.5	33.6	25	641	21870	
512481	POLYTEX(P)  	B 	Q	7.08	7.08	7.08	7.08	7.08	7.43	1	100	708	
512489	OASIS SECUR.	T 	Q	155	155	155	155	155	148.5	1	1	155	
512499	SHALIMAR PRO	T 	Q	7.16	7.18	6.83	7.18	7.18	6.84	1075	3229418	23125953	
512519	DONEAR IND. 	B 	Q	10.69	10.69	10.3	10.3	10.3	10.2	21	10620	111414	
512527	SUPER SAL IN	B 	Q	191.05	191.05	191.05	191.05	191.05	191	2	53	10125	
512529	SEQUENT     	T 	Q	202	202	192.65	193.3	192.65	202.75	237	11613	2248402	
512531	STC INDIA   	B 	Q	171.8	175.55	171.45	172.55	172.55	171.4	2687	81621	14144188	
512535	ASAHI INFRA.	B 	Q	0.97	0.98	0.97	0.98	0.98	1	5	861	841	
512559	KOHINORFOODS	B 	Q	41.75	45.9	41.5	45.5	45.5	41.65	2047	181999	8079042	
512573	AVANTI FEEDS	B 	Q	253.75	258.9	250.1	254.9	254.9	248.55	68	837	213324	
512579	GUJ.NRE COKE	B 	Q	10.46	10.89	10.4	10.84	10.84	10.51	439	161538	1720731	
512585	KARMA ISP   	T 	Q	0.86	0.89	0.85	0.88	0.88	0.86	11	22870	19525	
512587	ZODIAC JRD  	B 	Q	17.4	17.4	17.4	17.4	17.4	16.6	1	100	1740	
512599	ADANI ENTER 	A 	Q	263.9	269.7	262.25	268.75	268.5	262.75	4050	178345	47737669	
512604	HARIA EXPORT	B 	Q	1.17	1.17	1.17	1.17	1.17	1.12	2	2042	2389	
512608	BHANDARI HOS	T 	Q	43.4	44	40.6	43.8	43.85	42.4	561	208495	8972593	
512626	ORBIT EXPORT	B 	Q	97.2	98.95	96.95	98.65	97.15	97.2	244	5435	530529	
513005	VBC FERRO   	B 	Q	56	57.1	56	57.1	57.1	56	16	12611	713578	
513010	TATA SPONGE 	B 	Q	312.1	312.1	304.1	305	305	308.7	243	1756	537065	
513023	NAV BHAR VEN	B 	Q	172	172	165	165.5	165	170.25	149	2082	347001	
513043	REMI EDEL   	B 	Q	17.95	18.2	17.95	18.2	18.2	17.35	2	6	108	
513059	G.S.AUTO INT	B 	Q	8.2	8.2	8.15	8.15	8.15	7.82	4	500	4090	
513097	SHIV.BIMETAL	B 	Q	6.6	6.65	6.6	6.65	6.65	6.5	4	600	3975	
513108	GANDHI SP.TU	B 	Q	131	131	131	131	131	131	3	157	20567	
513117	AMFORGE IND.	B 	Q	0.5	0.5	0.5	0.5	0.5	0.51	1	2	1	
513121	ORICON ENT  	B 	Q	22.1	22.1	22.05	22.05	22.05	22.5	4	668	14754	
513142	BALASORE    	B 	Q	11.85	12.2	11.85	11.98	12	11.92	594	28542	342893	
513179	NAT STL AGRO	B 	Q	14.69	14.7	14.3	14.5	14.6	14.39	85	12122	175538	
513216	UTTAM GALVA 	B 	Q	70.1	72.4	69.5	71.8	71.8	70.25	944	57173	4069367	
513228	PENNAR STEEL	B 	Q	23.75	23.75	23.5	23.6	23.6	23.4	80	3587	84751	
513250	JYOTI STRUCT	B 	Q	31.2	33.85	31.05	33.45	33.45	31.2	6165	935407	30670748	
513252	JAY USHIN   	B 	Q	73.9	73.9	73.9	73.9	73.9	73.9	1	20	1478	
513262	ST.STR.WHEEL	B 	Q	150.5	153.9	148	149.3	149.3	143.95	2113	56525	8530388	
513269	MAN IND.(I) 	B 	Q	58.5	61.7	58.5	61.4	61.4	58.8	490	27800	1693067	
513305	MORYO IND   	T 	Q	169	169	169	169	169	170	3	10200	1723800	
513335	AHMED.FORG  	B 	Q	112.7	112.7	110	110.5	111.25	111.7	93	2883	318626	
513349	AJMERA      	B 	Q	57.4	65	57.4	63.75	63.75	56.7	3201	91868	5767866	
513353	COCHIN MIN. 	B 	Q	108.3	112.95	108.3	110.2	110.05	109.6	270	4414	490480	
513359	PACHELI ENT 	B 	Q	249.3	250.2	236.95	250.2	250.2	249	143	12776	3190290	
513361	ISW LTD     	B 	Q	3.2	3.31	3.2	3.3	3.3	3.16	6	211	689	
513375	CARBORUNDUM 	B 	Q	150	150	146	148	148	146.9	236	1292	191322	
513377	MINERAL&METL	A 	Q	52.9	54.3	52.8	53.6	53.6	52.8	3153	326146	17532961	
513397	VALLABH STEL	B 	Q	14.43	14.43	14.43	14.43	14.43	13.75	1	900	12987	
513403	PM TELELINN 	B 	Q	4.73	4.73	4.73	4.73	4.73	4.82	1	5	23	
513405	PENNAR ALUM.	T 	Q	0.21	0.22	0.21	0.22	0.22	0.21	4	7425	1630	
513414	SUJANA METAL	B 	Q	2.02	2.02	2.02	2.02	2.02	1.93	51	156641	316414	
513418	SHIMOGA TECH	T 	Q	0.32	0.32	0.32	0.32	0.32	0.31	13	25023	8007	
513434	TATA METALIK	B 	Q	55.6	56.3	55.5	56.25	56.15	55.9	191	1608	90082	
513446	MONNETISPA  	B 	Q	150.05	154.95	150.05	152.3	152.3	151.35	651	12074	1847717	
513460	MAHALAXMI SM	B 	Q	4.38	4.38	4.38	4.38	4.38	4.6	5	2245	9833	
513472	SIMPLEX CAST	B 	Q	35	35.2	35	35.2	35.2	35.5	6	1495	52409	
513502	BARODA EXTR.	B 	Q	1.24	1.3	1.24	1.29	1.29	1.3	6	327	407	
513509	KALYANI FORG	T 	Q	112.95	112.95	112	112	112	107.95	4	603	67942	
513513	ADITYA ISPAT	T 	Q	4.78	4.78	4.6	4.75	4.75	4.69	3	202	929	
513515	S.R.INDUS.  	T 	Q	2.6	2.64	2.6	2.64	2.64	2.72	18	47965	125989	
513517	STEELCAST   	B 	Q	29.75	29.75	27.55	28.85	28.85	28.1	42	3327	95800	
513519	PITTI LAMIN.	B 	Q	34.1	35.8	34	35.8	35.8	35	13	2420	82463	
513528	GLITTEK GRAN	B 	Q	5.24	5.7	5.24	5.7	5.7	5.51	4	302	1583	
513532	PRADEEP MET.	B 	Q	17.55	19.25	17.55	19	19	18.45	8	660	12273	
513534	VARDHMAN IND	B 	Q	23.65	23.65	23.65	23.65	23.65	24.75	1	294	6953	
513536	GNRL        	B 	Q	92.5	103.95	92.5	102	102	93.15	199	8289	820166	
513554	MAHA STEEL  	B 	Q	60.5	62.85	60.5	62.7	62.85	61.65	45	851	53108	
513558	REAL STRIPS 	B 	Q	22.15	22.15	21.1	21.1	21.1	21.1	13	8060	171979	
513566	NOVA IRON&ST	T 	Q	33.45	33.45	31.2	32	32	32.5	5	348	11170	
513579	FOUNDRY FUEL	B 	Q	11.5	11.5	11.5	11.5	11.5	12.1	1	50	575	
513583	S.B.& T INT.	T 	Q	0.96	0.97	0.96	0.97	0.97	0.93	17	12725	12338	
513597	SURANA INDS 	B 	Q	63	63	63	63	63	60	3	445	28035	
513599	HIND.COPPER 	A 	Q	70.8	72.8	70.7	71.75	71.75	70.55	2987	225141	16187108	
513605	LANCO INDUS.	B 	Q	24.95	25.95	24.95	25.05	25.05	24.5	503	29606	746634	
513613	PRESHA MET  	T 	Q	49.7	49.8	49.7	49.8	49.8	49.75	24	15000	746250	
513629	TULSYAN NEC 	B 	Q	27	27	26.65	26.65	26.65	28	7	190	5081	
513683	NEYVELI LIGN	A 	Q	64	64	63	63.25	63.25	63.85	534	38416	2433759	
513691	JMT AUTO LTD	B 	Q	146	150.05	146	150.05	150.05	146.05	6	799	119771	
513709	SHILP GRAVUR	B 	Q	33	33	33	33	33	32	2	29	957	
513713	WHITE DIAMON	B 	Q	7.8	7.85	7.65	7.65	7.65	7.65	91	4484	34979	
513723	HIMALAYA GR.	B 	Q	35	35	35	35	35	35	1	78	2730	
513729	ARO GRANITE 	B 	Q	27.6	27.6	27.6	27.6	27.6	29	1	200	5520	
514028	RAJKAMAL SYN	T 	Q	22.25	22.25	22.25	22.25	22.25	21.84	12	4901	109047	
514030	DEEPAK SPINN	B 	Q	38	38	37.1	37.1	37.1	37.6	5	670	25370	
514034	JBF IND.LTD 	B 	Q	83.8	87	81	83.05	83.05	83	1488	63947	5420137	
514036	LOY.TEX MILL	B 	Q	168.3	185	168.3	185	185	177	5	601	107845	
514043	HIMAT.SEIDE 	B 	Q	55.5	55.9	53.95	54.7	54.7	55.15	679	57728	3153076	
514045	BSL LTD.    	B 	Q	16.55	16.55	16.55	16.55	16.55	16.4	13	164	2714	
514118	ESKAY K'N'IT	B 	Q	0.99	0.99	0.92	0.99	0.99	0.95	283	15861	15495	
514138	SURYALATA SP	B 	Q	54	54.05	54	54.05	54.05	56	5	700	37820	
514140	SURYAVA SPIN	B 	Q	7.6	7.6	7.6	7.6	7.6	7.24	2	514	3906	
514142	TT LTD.     	B 	Q	25	26	25	26	26	25.5	16	4527	114350	
514162	WELSPUN (I) 	B 	Q	76.1	81.65	74.9	79	79	74.35	907	26705	2118442	
514165	IND.ACRYLICS	B 	Q	3.73	3.81	3.5	3.69	3.81	3.49	63	15844	57539	
514167	GANESH ECOSP	B 	Q	37.15	37.45	37	37.3	37.25	37.25	101	12367	460580	
514175	VARDHMAN POL	B 	Q	41	41	40	40	40	40.55	41	614	24832	
514211	SUMEET INDS.	B 	Q	24.55	25	23.6	24.05	23.9	24.55	236	32126	787003	
514215	BINNY LTD.  	B 	Q	69.7	72.4	69.7	71	70.9	71.1	80	19506	1367380	
514221	KLIFESTYLE  	B 	Q	0.26	0.26	0.24	0.26	0.26	0.25	37	133792	34256	
514234	SANGAM INDIA	B 	Q	36.3	39	35.7	38	38	35.85	230	12923	487541	
514240	SNS TEXTILES	B 	Q	1.1	1.1	1.1	1.1	1.1	1.15	1	2	2	
514264	SEASONS TEXT	B 	Q	4.06	4.06	4.06	4.06	4.06	4.06	1	200	812	
514266	ZENITH FIBRE	B 	Q	30	31.75	29.05	29.05	29.05	30.25	9	53	1582	
514274	AARVEE DENIM	B 	Q	47.9	47.9	46.55	47.45	47.65	46.8	54	408	19419	
514286	ASHIMA LTD. 	B 	Q	3.15	3.41	3.15	3.25	3.25	3.25	11	3803	12448	
514300	PIONEER EMB 	B 	Q	8.42	8.42	8.42	8.42	8.42	8.4	1	1000	8420	
514304	S.KUMARS NAT	T 	Q	5.09	5.16	5	5.08	5.08	4.96	251	177098	903609	
514312	JAY HIND SYN	T 	Q	8.99	8.99	8.99	8.99	8.99	8.65	1	50	449	
514326	PATSPIN INDI	T 	Q	7.2	7.51	7.2	7.51	7.51	7.53	5	1022	7544	
514332	NEOINFRA    	T 	Q	17.1	18	17.1	17.7	17.7	17.95	9	4496	79073	
514348	WINSOME YRN 	B 	Q	7.29	7.29	6.9	7.01	6.94	7.03	388	13253	92896	
514354	PREMIER POLY	B 	Q	6.35	6.35	6.35	6.35	6.35	6.05	1	25	158	
514358	EVERLON SYN.	B 	Q	1.34	1.34	1.34	1.34	1.34	1.4	13	9427	12632	
514400	GARWARE SYN.	T 	Q	7.8	7.8	7.8	7.8	7.8	7.81	1	500	3900	
514418	MANORG      	B 	Q	14.21	14.25	14.21	14.25	14.25	14.95	2	1200	17092	
514428	HINDU.ADHESI	B 	Q	8.39	8.39	8.39	8.39	8.39	8	1	100	839	
514442	SRI KPR IND 	B 	Q	16.8	16.8	15.55	15.55	15.55	16	2	150	2363	
514450	MAHA.RUBTECH	B 	Q	3.5	3.7	3.41	3.7	3.7	3.55	15	8950	32567	
514470	WIMSOME TEXT	B 	Q	55.6	55.6	55.6	55.6	55.6	55.55	11	13800	767280	
515018	REG.CERAMIC 	B 	Q	2.91	2.91	2.91	2.91	2.91	2.91	1	25	72	
515030	ASAHI IN.GLA	B 	Q	45.25	46.3	45.2	45.7	45.7	45.25	50	2216	101356	
515037	MURD.CERAM  	B 	Q	14	14.7	13.75	14.7	14.7	14	22	8650	122547	
515043	SAINT-GOBAIN	B 	Q	13.6	14.09	13.4	13.63	13.63	13.44	620	199034	2733388	
515055	ANANTRAJ    	B 	Q	63.3	64.9	62.55	64.05	64.05	62.75	5662	654918	41870026	
515081	SRIVAJRA GRA	T 	Q	3.22	3.22	3.22	3.22	3.22	3.22	1	100	322	
515127	RAMMAICA (I)	T 	Q	13.53	13.53	13.53	13.53	13.53	13.8	1	100	1353	
515147	HALDYN GLASS	B 	Q	12.99	13.4	12.9	13.06	13.06	12.81	229	40165	524851	
516003	SARDA PLY.  	B 	Q	15.21	15.21	15.21	15.21	15.21	14.5	1	10	152	
516007	MANGALAM TIM	B 	Q	7.5	8	7.5	8	8	7.75	2	298	2335	
516016	SHREYANS IND	B 	Q	21.85	21.85	21.85	21.85	21.85	22.95	3	1050	22942	
516020	AGIO PAPER  	T 	Q	6.75	7.15	6.75	7.15	7.15	7.1	2	2	13	
516022	STAR PAPER  	B 	Q	6.7	6.7	6.66	6.66	6.66	7	2	101	676	
516064	ARROW COATED	B 	Q	29.35	29.35	28.25	28.4	28.4	28.8	107	5936	171316	
516072	VISHNU CHEM 	B 	Q	48.5	48.6	48.5	48.6	48.6	48.5	20	6152	298562	
516078	JUMBO BAG   	B 	Q	4.11	4.11	4.11	4.11	4.11	3.92	1	100	411	
516082	N.R.AGARWAL 	B 	Q	21.3	22.15	21.3	22.15	22.15	21.1	10	2103	46193	
516086	SH.RAJES.PAP	T 	Q	4.12	4.12	4.12	4.12	4.12	3.93	1	5	20	
517001	BIRLA POWER 	T 	Q	0.17	0.17	0.16	0.16	0.16	0.16	265	1823067	309261	
517035	RUTTONSHA IN	B 	Q	9	9.64	9	9.64	9.64	9.19	3	399	3718	
517041	ADORWELDING 	B 	Q	133	140.05	133	138.1	138.5	133.3	401	5372	738305	
517059	SALZER ELEC 	B 	Q	55.7	55.7	55.7	55.7	55.7	56.05	2	550	30635	
517063	JETINFOTRAN 	B 	Q	32	33	32	33	33	31.5	6	610	20080	
517080	HIGHGROUND  	T 	Q	59	59	59	59	59	56.2	1	300	17700	
517119	PCS TECH    	B 	Q	14.05	14.05	14.05	14.05	14.05	14	1	100	1405	
517140	MOSER BEAR  	B 	Q	3.37	3.53	3.35	3.51	3.51	3.37	350	284054	985270	
517146	USHA MART.LT	B 	Q	30	32.9	29.8	32.2	32.2	29.9	3476	591357	19013002	
517164	ZENITH COMP.	B 	Q	2.85	2.85	2.73	2.73	2.73	2.67	8	16650	47440	
517166	SPEL SEMICON	B 	Q	4.96	4.97	4.96	4.97	4.97	4.74	13	2900	14405	
517168	SUBROS LTD. 	B 	Q	27.75	28.6	27.55	27.95	27.95	27.8	90	5354	149912	
517174	HONEYWELL   	B 	Q	2745	2781.95	2721.9	2739.95	2721.9	2757.15	62	94	259216	
517201	SWITCH.TECH.	B 	Q	23	23	23	23	23	21.95	1	100	2300	
517206	LUMAX IND   	B 	Q	330	334.75	330	332.4	334.75	334	17	101	33570	
517214	SMOBILITY   	B 	Q	31.75	31.75	30.4	30.5	31.75	31.2	68	254	7896	
517224	SUJANA INDUS	T 	Q	1.26	1.34	1.26	1.34	1.34	1.28	130	100668	132998	
517228	TREND ELECT 	B 	Q	25.7	25.7	25.7	25.7	25.7	27	4	240	6168	
517230	PREM.AU.ELEC	B 	Q	5.4	5.4	5.4	5.4	5.4	5.3	2	100	540	
517271	HBL P SYS   	B 	Q	13.2	13.2	12.52	12.65	12.65	13.04	134	27067	345960	
517300	GUJ.IND.POW.	B 	Q	61.1	64.95	61.1	63.15	63.15	61.8	1081	747186	46749154	
517320	SAV INFOCOM 	T 	Q	6.66	6.66	6.66	6.66	6.66	6.35	1	300	1998	
517326	CMC LTD.    	B 	Q	1640	1659.4	1620.2	1628.7	1628.7	1632	767	3743	6129151	
517330	CMI LTD.    	B 	Q	9.22	9.22	9.22	9.22	9.22	9.7	3	520	4794	
517334	MOTHERSON SS	A 	Q	184	193	183.3	192.1	192.1	182.55	3115	111480	21261445	
517344	MINDTECK (I)	B 	Q	27.3	27.3	27.3	27.3	27.3	26	66	38627	1054517	
517354	HAVELLSINDIA	A 	Q	791.25	796.25	785.1	791.1	791.1	790	330	3955	3130212	
517356	ACI INFOCOM 	B 	Q	4.6	4.95	4.53	4.95	4.95	4.72	447	1652851	7965207	
517370	INCAP LTD.  	B 	Q	7.48	7.48	7.48	7.48	7.48	7.34	1	100	748	
517372	GUJ.INTRUX  	B 	Q	83.55	83.55	83.55	83.55	83.55	87.9	7	2055	171695	
517374	MUKESH STRIP	T 	Q	6.79	6.79	6.79	6.79	6.79	6.47	1	100	679	
517380	IGARSHI MOT 	B 	Q	82	84.75	81.9	84.4	84.4	81.9	67	13754	1133121	
517385	SYMPHONY    	B 	Q	425	429.2	423	425.2	427.5	424.1	93	1160	492601	
517391	GAMMA INFOW.	B 	Q	0.77	0.77	0.77	0.77	0.77	0.8	1	1	0	
517393	VINTRON INF.	B 	Q	2.25	2.25	2.25	2.25	2.25	2.32	1	150	337	
517403	SUN SOURCE  	T 	Q	5.42	5.42	5.42	5.42	5.42	5.7	2	79	428	
517411	SHYAM TELEC.	B 	Q	25.95	27.5	25.95	26.55	26.9	26.6	127	6492	175324	
517415	LEE&NEE SOFT	B 	Q	3.09	3.13	3.09	3.13	3.13	3.25	2	500	1553	
517417	PATEL AIRTEM	B 	Q	46.65	47.2	46.65	47.2	47.2	47.95	15	4152	195202	
517421	BFLYGANDHI  	B 	Q	318.5	323	318.5	321.55	320	317.4	48	382	122342	
517437	DUTRON POLY.	B 	Q	22	22.05	21.3	22.05	22.05	21	6	803	17550	
